letter,digit,blank,+,-,*,/,<,>,=,!,;,",",.,"""",(,),[,],{,},invalid
1,2,0,26,27,28,6,9,10,11,12,29,30,37,5,31,32,33,34,35,36,40
1,1,13,13,13,13,13,13,13,13,13,13,13,37,37,13,13,13,13,13,13,40
38,2,14,14,14,14,14,14,14,14,14,14,14,3,38,14,14,14,14,14,14,40
38,4,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,40
38,4,15,15,15,15,15,15,15,15,15,15,15,38,38,15,15,15,15,15,15,40
5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,5,5,5,5,5,5,5
16,16,16,41,41,7,41,41,41,41,41,41,41,41,41,16,41,16,41,16,41,40
7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,7,7,7,7,7,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
19,19,19,41,41,41,41,41,41,20,41,41,41,41,41,19,41,19,41,19,41,40
21,21,21,41,41,41,41,41,41,22,41,41,41,41,41,21,41,21,41,21,41,40
23,23,23,41,41,41,41,41,41,24,41,41,41,41,41,23,41,23,41,23,41,40
39,39,39,39,39,39,39,39,39,25,39,39,39,39,39,39,39,39,39,39,39,40
